Faculty ID,Faculty Name,Department,Experience (Years),Qualification,QIP Participation Count,Previous Performance Score,Student Feedback Score,Pass Percentage of Students,Innovative Teaching Methods Used,Class Attendance Rate (%),Research Papers Published (Last 2 Years),Research Funding Secured (in Rs),Conference/Seminar Participation,Patents Filed/Granted,Overall Faculty Performance Score
FAC2000,A,CSE,28,Masters,5,99.21,3.31,63,5,68,5,,6,2,
FAC2001,B,MCA,20,Ph.D.,5,72.29,4.85,,3,85,1,224740,9,2,
FAC2002,C,CSIT,20,Ph.D.,5,94.2,4.51,85,3,70,1,325263,2,0,
FAC2003,D,MCA,3,Ph.D.,9,70.48,4.55,86,1,84,9,,1,2,
FAC2004,E,CSE,31,Ph.D.,10,58.07,4.84,72,5,94,5,258654,6,2,
FAC2005,F,CSE,30,Masters,8,59.24,3.18,,0,85,1,322063,6,3,
FAC2006,G,MCA,27,Masters,2,70.25,3.42,87,2,83,8,211250,4,1,
FAC2007,H,AIDS,18,Ph.D.,8,56.08,,96,3,113,2,941047,8,1,
FAC2008,I,AIDS,2,Ph.D.,7,69.9,,73,0,100,3,10894,3,0,
FAC2009,J,AIDS,14,Masters,9,77.98,3.4,,5,85,0,33208,8,3,
FAC2010,K,CSE,9,Ph.D.,1,60.39,3.84,,1,65,4,27757,4,0,
FAC2011,L,AIDS,17,Masters,6,65.56,4.76,69,3,60,1,348112,5,1,
FAC2012,M,CSE,6,Masters,5,84.59,3.39,79,5,100,6,12552,8,0,
FAC2013,N,MCA,4,Masters,6,99.39,,92,3,74,1,,2,3,
FAC2014,O,AIDS,15,Masters,5,95.23,4.24,85,1,72,9,,2,3,
FAC2015,P,AIDS,18,Ph.D.,8,52.25,3.18,92,3,58,3,22205,3,3,
FAC2016,Q,CSE,8,Ph.D.,10,85.01,4.94,98,3,83,6,36191,10,2,
FAC2017,R,CSE,19,Masters,1,74.57,,77,1,66,3,,9,2,
FAC2018,S,CSIT,21,Ph.D.,2,95.88,3.01,62,2,59,0,24919,3,2,
FAC2019,T,MCA,41,Masters,0,92.15,3.24,73,5,74,10,12437,7,3,
